stein_lam_abs,_timestamp,corrector_loss,_step,energy_w2,stein_var_ratio,_runtime,adjoint_buffer_size,stein_score_loss,dist_w2,adjoint_loss,stein_bias_z,eq_w2,stein_active,stein_tau_mean,corrector_buffer_size
9.730887413024902,1790075501.10455,,2203,,0.8138325214385986,9267.225977477,10000.0,-77.7800064086914,,1.376612663269043,2.775002729794867,,1.0,0.9280346632003784,
9.5763578414917,1790075505.22464,,2204,,0.8212915062904358,9271.249057573,10000.0,-76.12406921386719,,1.4584593772888184,2.1809800224200835,,1.0,0.9275174736976624,
9.47971248626709,1790075509.2476754,,2205,,0.8170334696769714,9275.214406842,10000.0,-77.26480865478516,,1.3847905397415161,2.6171344557751772,,1.0,0.9266951680183411,
9.442770957946777,1790075513.2130802,,2206,,0.8176517486572266,9279.20228551,10000.0,-77.68669128417969,,1.3878649473190308,3.25296189353662,,1.0,0.9278426170349121,
9.581084251403809,1790075517.2009323,,2207,,0.8178027272224426,9283.190506068,10000.0,-77.2575912475586,,1.4029850959777832,2.8294267640362945,,1.0,0.9274898767471313,
9.178328514099121,1790075521.1891725,,2208,,0.8188590407371521,9287.18526205,10000.0,-76.4414291381836,,1.4133106470108032,2.210987582322992,,1.0,0.9274346828460693,
9.680795669555664,1790075525.1838892,,2209,,0.8164267539978027,9291.224130449,10000.0,-75.97541046142578,,1.395857810974121,3.285829647614158,,1.0,0.9275026917457581,
9.516887664794922,1790075529.222792,,2210,,0.8195154666900635,9295.235444405,10000.0,-73.68186950683594,,1.4758589267730713,2.2767194114003853,,1.0,0.9271197319030762,
9.406895637512207,1790075533.2341151,,2211,,0.8156708478927612,9299.394402071,10000.0,-75.9139633178711,,1.4245119094848633,2.987317298803666,,1.0,0.9265899658203125,
9.45260238647461,1790075537.3930094,,2212,,0.8195736408233643,9303.394521574,10000.0,-76.18412780761719,,1.3584610223770142,2.107122651996345,,1.0,0.9285402894020081,
